BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
3517.1016159999995,0.727273,0.0,547.28,0.0,0.0,1.0,0.0,0.0,14.0,11000.0,8735.607834999999,17862.55831,0.0,12.0
7957.017218000001,1.0,0.0,0.0,4909.937494,0.0,0.0,0.25,4.0,0.0,9000.0,677.144841,27631.450719999997,0.0,12.0
11209.37076,1.0,1137.4,10009.93,2728.576925,0.25,1.0,0.166667,8.0,126.0,11000.0,7932.774020000001,17494.90735,0.0,12.0
1874.6016359999999,1.0,0.0,305.78,0.0,0.0,0.583333,0.0,0.0,14.0,1500.0,518.757481,19977.005719999997,0.0,12.0
3457.0861840000002,1.0,0.0,2448.6,0.0,0.0,1.0,0.0,0.0,12.0,1700.0,227.514473,38512.12477,0.0,12.0
1418.254924,1.0,0.0,362.13,0.0,0.0,1.0,0.0,0.0,19.0,1200.0,496.114334,15914.72154,0.0,12.0
4414.952906,1.0,0.0,419.64,0.0,0.0,1.0,0.0,0.0,12.0,4200.0,467.20485199999996,24302.09819,0.0,12.0
2294.145941,1.0,0.0,29.29,137.256946,0.0,0.083333,0.083333,2.0,1.0,2100.0,149.363733,17693.07847,0.0,12.0
6090.522273,1.0,22.16,0.0,0.0,0.083333,0.0,0.0,0.0,1.0,9000.0,568.7811,30528.4324,0.0,12.0
7499.30365,1.0,350.57,0.0,948.2937890000001,0.083333,0.0,0.25,6.0,3.0,7500.0,1326.4340539999998,19060.53475,0.0,12.0
3740.9077310000002,1.0,0.0,0.0,116.63214099999999,0.0,0.0,0.083333,1.0,0.0,4000.0,128.371777,27146.02678,0.0,12.0
1553.505165,1.0,0.0,522.0,0.0,0.0,1.0,0.0,0.0,14.0,1000.0,472.58091900000005,15584.097419999998,0.0,12.0
3034.686119,1.0,0.0,0.0,370.098258,0.0,0.0,0.083333,2.0,0.0,3000.0,91.692752,26143.17049,0.0,12.0
2748.868773,1.0,598.5,0.0,0.0,0.333333,0.0,0.0,0.0,34.0,2000.0,518.300462,28483.25483,0.0,12.0
3003.711667,1.0,0.0,349.45,0.0,0.0,0.636364,0.0,0.0,7.0,2750.0,195.83062900000002,26378.90782,0.0,11.0
2964.124423,1.0,0.0,118.05,157.301178,0.0,0.083333,0.25,4.0,2.0,3000.0,359.886515,17563.485419999997,0.0,12.0
1884.2525239999998,1.0,116.63,1242.25,0.0,0.166667,1.0,0.0,0.0,79.0,1200.0,303.560901,18959.86938,0.0,12.0
1487.509392,1.0,0.0,34.52,0.0,0.0,0.166667,0.0,0.0,2.0,2000.0,2133.9893190000003,19443.45352,0.0,12.0
2339.037958,1.0,0.0,1823.56,435.16522199999997,0.0,1.0,0.083333,2.0,20.0,1800.0,890.623152,16638.3541,0.0,12.0
10571.41107,1.0,0.0,7739.48,0.0,0.0,1.0,0.0,0.0,44.0,8000.0,2688.447014,76406.20752000001,0.0,12.0
4976.028578,1.0,0.0,900.87,0.0,0.0,1.0,0.0,0.0,162.0,5500.0,92.86546899999999,50260.75947,0.0,12.0
