BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
2990.422186,0.909091,1664.09,2859.18,27296.485760000003,0.5,0.583333,0.833333,27.0,33.0,7000.0,28232.694460000002,1107.0308029999999,0.454545,12.0
19043.13856,1.0,9449.07,12560.85,0.0,0.75,1.0,0.0,0.0,216.0,18000.0,23018.57583,18621.01331,0.0,12.0
5131.319584000001,1.0,26547.43,5992.35,0.0,1.0,1.0,0.0,0.0,98.0,11500.0,26652.34432,1971.129435,0.083333,12.0
1132.386178,0.454545,2246.3,0.0,14048.07181,0.333333,0.0,0.416667,20.0,8.0,6000.0,32048.6122,406.790252,0.8,12.0
13479.288209999999,1.0,40624.06,426.34,0.0,0.666667,0.416667,0.0,0.0,157.0,17000.0,36066.750680000005,15914.48462,0.083333,12.0
2643.343414,1.0,22257.39,4145.0,0.0,1.0,0.333333,0.0,0.0,114.0,16500.0,24529.27662,534.032339,1.0,12.0
11547.52001,1.0,40761.25,8278.32,558.166886,1.0,0.916667,0.083333,1.0,101.0,22500.0,46930.59824,2974.069421,0.25,12.0
2492.726282,1.0,23032.97,4924.71,0.0,1.0,0.916667,0.0,0.0,70.0,9000.0,27255.00752,537.372671,1.0,12.0
4925.502001,1.0,989.14,2061.58,10901.298270000001,0.333333,0.333333,0.416667,24.0,16.0,11500.0,21320.89625,3913.712987,0.166667,12.0
13763.473580000002,1.0,6701.08,2969.76,1896.204934,0.75,1.0,0.166667,2.0,88.0,17500.0,24199.111080000002,3039.137305,0.083333,12.0
4419.30294,1.0,10901.24,1650.71,14896.540509999999,0.666667,1.0,0.5,19.0,122.0,17000.0,31698.419019999998,1448.585054,0.416667,12.0
14581.45914,1.0,0.0,0.0,22665.7785,0.0,0.0,0.833333,30.0,0.0,18500.0,20941.32551,5433.7598880000005,0.0,12.0
2072.4576239999997,1.0,11263.17,6146.04,0.0,1.0,1.0,0.0,0.0,175.0,19500.0,19517.1616,517.324081,0.333333,12.0
3108.393701,0.9,15158.9,11423.44,0.0,0.8,0.8,0.0,0.0,55.0,28000.0,26557.09724,586.029097,0.875,10.0
8823.284205,1.0,2293.18,1425.82,29282.10915,0.75,1.0,0.416667,26.0,61.0,15500.0,28150.978689999996,7321.639931999999,0.083333,12.0
34.207778999999995,0.090909,2483.26,0.0,0.0,0.083333,0.0,0.0,0.0,1.0,10000.0,29272.48607,0.0,0.0,12.0
1893.6119219999998,1.0,15795.42,6951.39,0.0,1.0,1.0,0.0,0.0,140.0,18000.0,22558.28457,505.125031,1.0,12.0
4010.621974,1.0,24543.52,15497.19,0.0,1.0,1.0,0.0,0.0,358.0,18000.0,33994.72785,703.503256,1.0,12.0
8151.985277,1.0,25122.77,492.3,0.0,1.0,0.583333,0.0,0.0,56.0,17000.0,17575.20083,2465.4654140000002,0.166667,12.0
4.382924,0.272727,0.0,152.24,0.0,0.0,0.083333,0.0,0.0,0.0,14000.0,28988.97388,1092.184812,0.5,12.0
2774.249582,1.0,21802.6,0.0,1771.824164,1.0,0.0,0.083333,4.0,72.0,13000.0,22350.29247,562.887574,0.916667,12.0
8809.504736,1.0,20646.07,4732.29,0.0,1.0,1.0,0.0,0.0,136.0,14500.0,25825.324819999998,2921.628286,0.0,12.0
3391.7021799999998,1.0,33803.84,5098.87,0.0,1.0,1.0,0.0,0.0,195.0,18000.0,35843.62593,716.027656,1.0,12.0
3454.094319,1.0,19064.3,12235.05,0.0,0.666667,0.833333,0.0,0.0,121.0,7500.0,22542.58705,1193.03103,0.583333,12.0
10905.05381,1.0,133.5,298.43,47137.211760000006,0.25,0.5,1.0,123.0,21.0,19600.0,39048.59762,5394.1736710000005,0.0,12.0
10915.55075,1.0,0.0,0.0,23130.82106,0.0,0.0,0.583333,23.0,0.0,15000.0,18341.95467,3127.192305,0.0,12.0
268.577278,0.181818,0.0,0.0,5625.798427000001,0.0,0.0,0.083333,1.0,0.0,9000.0,34107.07499,761.962503,1.0,12.0
5968.583246,1.0,19150.02,3231.95,0.0,1.0,0.583333,0.0,0.0,87.0,14500.0,20343.286809999998,1966.1918309999999,0.0,12.0
6744.845686,1.0,0.0,4.44,19862.87844,0.0,0.166667,0.416667,11.0,3.0,16500.0,21440.29866,1350.823356,0.1,12.0
8700.079439,1.0,16864.56,3557.03,0.0,1.0,1.0,0.0,0.0,204.0,17000.0,13002.30393,2746.5921989999997,0.083333,12.0
3012.178613,1.0,14605.99,13184.43,469.07493700000003,0.666667,1.0,0.083333,1.0,79.0,12000.0,27839.823539999998,569.4013980000001,0.727273,12.0
14100.2511,1.0,3403.11,1592.69,20712.67008,1.0,0.333333,0.833333,36.0,34.0,16500.0,20418.33238,21235.0653,0.0,12.0
6928.721377,1.0,0.0,18.35,14836.45141,0.0,0.416667,0.083333,1.0,5.0,18000.0,22281.70046,1592.560164,0.090909,12.0
2997.977825,1.0,34087.73,1043.43,0.0,1.0,0.833333,0.0,0.0,344.0,12000.0,28896.66522,767.01418,0.75,12.0
1268.809031,0.272727,17945.0,0.0,0.0,0.166667,0.0,0.0,0.0,3.0,18000.0,50721.483360000006,1149.747342,0.0,12.0
11206.786240000001,1.0,540.65,717.12,8295.538786,0.909091,0.636364,0.636364,21.0,25.0,15000.0,20873.22194,2522.629723,0.090909,11.0
6956.37654,1.0,3091.01,8409.93,15133.532130000001,1.0,1.0,1.0,48.0,308.0,14000.0,20122.00545,1617.014574,0.166667,12.0
8248.178009000001,1.0,0.0,1788.84,90.031207,0.0,1.0,0.083333,1.0,12.0,18000.0,40627.595239999995,2149.9901019999998,0.166667,12.0
7907.725211,1.0,1552.31,132.88,8253.390661,0.75,0.166667,0.416667,14.0,27.0,18500.0,19841.25737,2025.8364829999998,0.090909,12.0
6372.182817,1.0,22101.78,0.0,19513.474830000003,0.333333,0.0,0.666667,35.0,40.0,7500.0,39461.9658,6764.853481,0.25,12.0
4529.895962,0.727273,0.0,0.0,21943.84942,0.0,0.0,0.333333,12.0,0.0,13000.0,33486.31044,1797.797941,0.428571,12.0
9110.968989,1.0,1490.75,0.0,20277.33112,0.166667,0.0,0.333333,22.0,5.0,11000.0,19740.74802,2684.226743,0.0,12.0
2980.054695,0.818182,26514.32,270.3,0.0,0.5,0.083333,0.0,0.0,33.0,30000.0,30029.014960000004,11853.796129999999,0.75,12.0
4530.205197,1.0,643.18,1107.48,26268.69989,0.333333,1.0,0.583333,10.0,36.0,8500.0,25203.91336,1366.869273,0.25,12.0
7081.171387,1.0,0.0,0.0,26194.04954,0.0,0.0,0.909091,69.0,0.0,9000.0,20191.3077,1926.017588,0.22222199999999998,11.0
