BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
6369.531318,1.0,5910.04,449.91,229.02824500000003,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.9590510000003,1659.775075,0.0,12.0
7152.864372,1.0,204.55,182.5,2236.145259,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.448347,1648.851345,0.0,12.0
12136.219959999999,1.0,1013.2,2024.81,3183.583301,0.166667,1.0,0.5,10.0,64.0,13000.0,4230.323490999999,3292.01503,0.0,12.0
6732.823064,1.0,324.95,0.0,1189.533753,0.083333,0.0,0.166667,3.0,3.0,10500.0,1720.1188760000002,2506.745366,0.0,12.0
7427.076940999999,1.0,0.0,0.0,8873.375046,0.0,0.0,0.727273,11.0,0.0,9000.0,1636.361601,1986.843608,0.0,11.0
7069.9503859999995,1.0,1445.14,158.64,5626.004046,0.833333,1.0,0.75,23.0,23.0,11000.0,4589.8738969999995,1876.262988,0.0,12.0
8181.251131,1.0,1318.78,939.23,5251.228934000001,0.75,1.0,0.75,21.0,60.0,13500.0,3021.575846,2074.581541,0.0,12.0
9381.255094,1.0,1147.83,3952.24,370.73719700000004,0.25,0.916667,0.083333,1.0,46.0,9000.0,6409.4963450000005,9827.045323,0.0,12.0
8504.876253,1.0,4100.08,2624.18,1686.599777,0.916667,1.0,0.5,10.0,85.0,17000.0,1888.7568609999998,2167.446204,0.0,12.0
14224.115409999999,1.0,0.0,0.0,4614.427403,0.0,0.0,0.333333,9.0,0.0,19000.0,3066.614272,3406.258999,0.0,12.0
11167.23403,1.0,150.64,0.0,8362.154254000001,0.083333,0.0,0.5,14.0,1.0,17000.0,2606.059389,2894.077159,0.0,12.0
10598.467770000001,1.0,1300.48,784.0,0.0,0.416667,0.583333,0.0,0.0,13.0,21500.0,3219.621433,3068.125648,0.0,12.0
7679.629040000001,1.0,0.0,4059.93,555.469352,0.0,0.5,0.166667,7.0,14.0,7000.0,3685.6106200000004,12854.9397,0.0,12.0
13673.079609999999,1.0,3959.81,5832.42,2444.445738,0.75,1.0,0.75,26.0,216.0,20000.0,11717.30794,6042.391629,0.0,12.0
11972.011040000001,1.0,4685.54,1029.46,1626.351366,1.0,1.0,0.166667,3.0,90.0,14000.0,4639.513745,3192.3060179999998,0.0,12.0
8350.145568,1.0,842.8,1146.48,893.7579029999999,0.166667,0.166667,0.083333,2.0,8.0,14000.0,4720.900413,2557.0445760000002,0.0,12.0
7201.736985,1.0,862.1,125.0,5468.620604,0.333333,0.083333,0.25,16.0,9.0,10500.0,1941.5411579999998,2391.987571,0.0,12.0
6467.885013,1.0,978.71,485.43,3947.86784,0.583333,0.666667,0.416667,10.0,23.0,11500.0,1658.563509,1887.4135170000002,0.0,12.0
