BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
2495.148862,1.0,773.17,0.0,0.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0
1666.670542,0.636364,1499.0,0.0,205.788017,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,0.0,0.0,12.0
1014.9264730000001,1.0,661.49,200.0,0.0,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0
921.693369,1.0,419.96,1717.97,0.0,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.13798599999998,0.083333,12.0
22.063489999999998,1.0,0.0,100.0,0.0,0.0,0.416667,0.0,0.0,5.0,6900.0,160.767773,159.684442,0.0,12.0
1162.273324,1.0,400.0,947.71,175.815755,0.083333,1.0,0.166667,2.0,45.0,6000.0,645.998299,256.848991,0.0,12.0
1311.995984,1.0,1283.9,0.0,0.0,0.25,0.0,0.0,0.0,6.0,6000.0,0.0,0.0,0.0,12.0
2386.330629,1.0,4789.09,428.53,0.0,0.916667,0.5,0.0,0.0,42.0,7500.0,5678.729613,1311.514878,0.083333,12.0
1879.1140329999998,0.727273,113.0,0.0,0.0,0.166667,0.0,0.0,0.0,2.0,6500.0,3509.686561,548.1058360000001,0.0,12.0
656.01301,1.0,0.0,0.0,1474.349901,0.0,0.0,0.125,3.0,0.0,7000.0,910.457985,140.983193,0.25,8.0
532.334517,0.909091,516.64,275.3,0.0,0.090909,0.181818,0.0,0.0,7.0,6000.0,1305.1773039999998,175.510344,0.0,11.0
17.357563,0.909091,40.21,204.64,0.0,0.166667,0.583333,0.0,0.0,13.0,5000.0,357.802082,121.523416,0.181818,12.0
